210,End X[m],End Y[m],End Z[m],q1[rad],q2[rad],q3[rad]
311,0.165491,0.19976,-0.0880755,-0.691849,-0.347146,2.19562
420,0.132707,0.216134,-0.0771328,-0.550651,-0.20752,2.10661
529,0.100093,0.234439,-0.0584457,-0.40352,-0.0617847,2.09597
642,0.0629713,0.246507,-0.0380842,-0.250106,0.090059,2.0944
748,0.0153168,0.142149,-0.183252,-0.107338,-1.39958,2.0944
858,0.00345501,0.250563,-0.0169962,-0.0137881,0.249582,2.09282
973,0.000786465,0.250339,-0.0169285,-0.00314159,0.250978,2.09125
084,0.001136,0.250338,-0.0169285,-0.00453786,0.250978,2.09125
189,0.001136,0.250338,-0.0169285,-0.00453786,0.250978,2.09125
296,0.000786465,0.250339,-0.0169285,-0.00314159,0.250978,2.09125
410,0.000786465,0.250339,-0.0169285,-0.00314159,0.250978,2.09125
521,0.000786465,0.250339,-0.0169285,-0.00314159,0.250978,2.09125
626,0.000786465,0.250339,-0.0169285,-0.00314159,0.250978,2.09125
736,0.000786465,0.250339,-0.0169285,-0.00314159,0.250978,2.09125
846,-0.00809465,0.25061,-0.0166982,0.0322886,0.250978,2.0944
954,-0.0402503,0.247691,-0.0165826,0.161094,0.250978,2.09597
068,-0.073954,0.239795,-0.0165826,0.299149,0.250978,2.09597
174,-0.103106,0.22878,-0.0165826,0.423417,0.250978,2.09597
286,-0.130967,0.214053,-0.0165826,0.549081,0.250978,2.09597
394,-0.153768,0.198309,-0.0165826,0.65956,0.250978,2.09597
499,-0.169662,0.184894,-0.0165826,0.742463,0.250978,2.09597
607,-0.173307,0.181482,-0.0165826,0.76236,0.250978,2.09597
724,-0.173592,0.18121,-0.0165826,0.763931,0.250978,2.09597
829,-0.177583,0.185376,-0.00740783,0.763931,0.287805,2.15269
944,-0.183477,0.191529,0.0205943,0.763931,0.421322,2.27853
046,-0.185429,0.192958,0.0432869,0.765501,0.53634,2.36736
156,-0.181889,0.189275,0.0599362,0.765501,0.651357,2.40279
271,-0.176484,0.183651,0.0705842,0.765501,0.748048,2.4089
380,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
486,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
591,-0.168356,0.186913,0.0738648,0.733213,0.781733,2.4089
699,-0.142302,0.207438,0.0738648,0.601266,0.781733,2.4089
814,-0.110353,0.226058,0.0738648,0.454135,0.781733,2.4089
921,-0.0789031,0.238861,0.0738648,0.319046,0.781733,2.4089
031,-0.0460581,0.247303,0.0738648,0.184132,0.781733,2.4089
143,-0.0104024,0.25134,0.0738648,0.0413643,0.781733,2.4089
252,0.0234986,0.250455,0.0738648,-0.0935496,0.781733,2.4089
360,0.0562453,0.245187,0.0738648,-0.225497,0.781733,2.4089
467,0.0865731,0.236189,0.0738648,-0.351335,0.781733,2.4089
579,0.117205,0.222582,0.0738648,-0.484678,0.781733,2.4089
689,0.142627,0.207214,0.0738648,-0.602837,0.781733,2.4089
796,0.162837,0.19174,0.0738648,-0.704066,0.781733,2.4089
905,0.171785,0.183766,0.0738648,-0.751713,0.781733,2.4089
016,0.173732,0.181927,0.0738648,-0.76236,0.781733,2.4089
131,0.172568,0.180141,0.0612853,-0.763931,0.728151,2.33979
235,0.0963864,0.1003,0.0952273,-0.765501,1.54566,2.2232
347,0.169387,0.176265,0.0141943,-0.765501,0.475079,2.12965
458,0.171673,0.178644,-0.00205669,-0.765501,0.358491,2.10522
565,0.173815,0.180873,-0.0129224,-0.765501,0.275587,2.10207
673,0.174095,0.181164,-0.0152436,-0.765501,0.258658,2.1005
780,0.168711,0.186128,-0.0159527,-0.736354,0.25412,2.09893
893,0.141522,0.207619,-0.016158,-0.598299,0.252549,2.09893
998,0.111901,0.224832,-0.0164667,-0.461814,0.250978,2.09754
113,0.0776899,0.238821,-0.0164667,-0.314508,0.250978,2.09754
220,0.0448181,0.247109,-0.0164667,-0.17942,0.250978,2.09754
328,0.0111735,0.250891,-0.0164667,-0.0445059,0.250978,2.09754
439,-0.023067,0.250078,-0.0164667,0.0919789,0.250978,2.09754
551,-0.0572627,0.244525,-0.0164667,0.230034,0.250978,2.09754
658,-0.0885666,0.235005,-0.0164667,0.36041,0.250978,2.09754
763,-0.116352,0.222561,-0.0164667,0.481711,0.250978,2.09754
876,-0.142392,0.206872,-0.0164667,0.602837,0.250978,2.09754
983,-0.163169,0.190911,-0.0164667,0.707207,0.250978,2.09754
092,-0.171757,0.183223,-0.0164667,0.75311,0.250978,2.09754
204,-0.173445,0.181627,-0.0164667,0.76236,0.250978,2.09754
314,-0.178065,0.185879,-0.0059712,0.763931,0.294088,2.16037
422,-0.183525,0.191579,0.0209213,0.763931,0.422893,2.27992
532,-0.185581,0.193117,0.0446569,0.765501,0.542448,2.37365
646,-0.181367,0.188731,0.0612449,0.765501,0.662178,2.40419
752,-0.176284,0.183442,0.0708946,0.765501,0.75119,2.4089
864,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
971,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
080,-0.168356,0.186913,0.0738648,0.733213,0.781733,2.4089
192,-0.140413,0.20872,0.0738648,0.59219,0.781733,2.4089
298,-0.111024,0.225729,0.0738648,0.457102,0.781733,2.4089
411,-0.0778184,0.239216,0.0738648,0.314508,0.781733,2.4089
518,-0.045281,0.247446,0.0738648,0.180991,0.781733,2.4089
622,-0.0123323,0.251253,0.0738648,0.0490438,0.781733,2.4089
736,0.0231052,0.250492,0.0738648,-0.0919789,0.781733,2.4089
842,0.0554748,0.245362,0.0738648,-0.222355,0.781733,2.4089
953,0.0872735,0.235931,0.0738648,-0.354302,0.781733,2.4089
063,0.116194,0.223112,0.0738648,-0.48014,0.781733,2.4089
176,0.142952,0.206989,0.0738648,-0.604408,0.781733,2.4089
285,0.163439,0.191227,0.0738648,-0.707207,0.781733,2.4089
393,0.172041,0.183526,0.0738648,-0.75311,0.781733,2.4089
501,0.173732,0.181927,0.0738648,-0.76236,0.781733,2.4089
610,0.17273,0.18031,0.0623681,-0.763931,0.732689,2.3459
724,0.171198,0.17815,0.0358089,-0.765501,0.596204,2.22023
834,0.169521,0.176405,0.0138168,-0.765501,0.471937,2.12965
941,0.171622,0.178591,-0.00185817,-0.765501,0.360061,2.10522
049,0.173815,0.180873,-0.0129224,-0.765501,0.275587,2.10207
157,0.174095,0.181164,-0.0152436,-0.765501,0.258658,2.1005
269,0.167571,0.187155,-0.0159527,-0.730246,0.25412,2.09893
373,0.142462,0.206974,-0.016158,-0.602837,0.252549,2.09893
489,0.214224,0.131071,-0.0164667,-1.02172,0.250978,2.09754
597,0.0773147,0.238943,-0.0164667,-0.312938,0.250978,2.09754
704,0.0440848,0.24724,-0.0164667,-0.176453,0.250978,2.09754
811,0.0107794,0.250909,-0.0164667,-0.0429351,0.250978,2.09754
927,-0.0253793,0.249854,-0.0164667,0.101229,0.250978,2.09754
037,-0.0584143,0.244252,-0.0164667,0.234747,0.250978,2.09754
140,-0.0882384,0.235128,-0.0164667,0.359014,0.250978,2.09754
253,-0.11771,0.221846,-0.0164667,0.48782,0.250978,2.09754
362,-0.142717,0.206648,-0.0164667,0.604408,0.250978,2.09754
469,-0.163169,0.190911,-0.0164667,0.707207,0.250978,2.09754
583,-0.172045,0.182953,-0.0164667,0.75468,0.250978,2.09754
689,-0.173445,0.181627,-0.0164667,0.76236,0.250978,2.09754
797,-0.177968,0.185778,-0.00703994,0.763931,0.287805,2.15723
909,-0.183645,0.191704,0.0205343,0.763931,0.419752,2.27992
016,-0.185537,0.193072,0.0443294,0.765501,0.541052,2.37208
127,-0.181531,0.188902,0.0606091,0.765501,0.65764,2.40279
234,-0.176384,0.183546,0.0707395,0.765501,0.749619,2.4089
343,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
458,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
566,-0.168062,0.187177,0.0738648,0.731642,0.781733,2.4089
673,-0.142012,0.207636,0.0738648,0.59987,0.781733,2.4089
